"Key"	"String"	"Context"
"RESET"	"リセット"	""
"DEFAULT"	"デフォルト"	""
"NOT_SET"	"未設定"	""
"RESET_TO_DEFAULT"	"デフォルトに戻す"	""
"RESET_TO_VANILLA"	"バニラにリセット"	""
"APPLY"	"適用"	""
"SUPPORT"	"サポート"	""
"ENABLE"	"有効化"	""
"DISABLE"	"無効化"	""
"VANILLA"	"バニラ"	""
"CUSTOM"	"カスタム"	""
"STEAM_WORKSHOP_PAGE"	"Steamのワークショップ"	""
"GITHUB_REPOSITORY"	"Githubのリポジトリ"	""
"DISCORD_SERVER"	"Discordサーバー"	""
"CLOSE_BTN"	"閉じる"	""
"MINIMIZE_BTN"	"最小化"	""
"GROUP_LOCALIZATION"	"言語の翻訳"	""
"SELECT_LANGUAGE"	"言語を選択"	""
"USE_GAME_LANGUAGE"	"ゲームの言語を使用"	""
