"Key"	"String"	"Context"
"LANGUAGE_NAME:self"	"한국어"	"LANGUAGE_NAME:self
readable native name "
"LANGUAGE_NAME:de-DE"	"독일어"	""
"LANGUAGE_NAME:es-ES"	"스페인어"	""
"LANGUAGE_NAME:fr-FR"	"프랑스어"	""
"LANGUAGE_NAME:it-IT"	"이탈리아어"	""
"LANGUAGE_NAME:ja-JP"	"일본어"	""
"LANGUAGE_NAME:ko-KR"	"한국어"	""
"LANGUAGE_NAME:nl-NL"	"네덜란드어"	""
"LANGUAGE_NAME:pl-PL"	"폴란드어"	""
"LANGUAGE_NAME:pt-PT"	"포르투갈어"	""
"LANGUAGE_NAME:ru-RU"	"러시아어"	""
"LANGUAGE_NAME:th-TH"	"태국어"	""
"LANGUAGE_NAME:vi-VN"	"베트남어"	""
"LANGUAGE_NAME:zh-CN"	"중국어 간체"	""
"LANGUAGE_NAME:zh-TW"	"중국어 번체"	""
