"Key"	"String"	"Context"
"RESET"	"Сбросить"	""
"DEFAULT"	"По умолчанию"	""
"NOT_SET"	"Не задано"	""
"RESET_TO_DEFAULT"	"Сброс по умолчанию"	""
"RESET_TO_VANILLA"	"Сбросить до стандартного"	""
"APPLY"	"Применить"	""
"SUPPORT"	"Поддержка"	""
"ENABLE"	"Включить"	""
"DISABLE"	"Выключить"	""
"VANILLA"	"Стандартное"	""
"CUSTOM"	"Произвольное"	""
"STEAM_WORKSHOP_PAGE"	"Страница Мастерской Steam"	""
"GITHUB_REPOSITORY"	"Репозиторий Github"	""
"DISCORD_SERVER"	"Сервер Discord"	""
"CLOSE_BTN"	"Закрыть"	""
"MINIMIZE_BTN"	"Свернуть"	""
"GROUP_LOCALIZATION"	"Локализация"	""
"SELECT_LANGUAGE"	"Выберите язык"	""
"USE_GAME_LANGUAGE"	"Язык игры"	""
