"Key"	"String"	"Context"
"RESET"	"Reset"	
"DEFAULT"	"Default"	
"NOT_SET"	"Not set"	
"RESET_TO_DEFAULT"	"Reset to Default"	
"RESET_TO_VANILLA"	"Reset to Vanilla"	
"APPLY"	"Apply"	
"SUPPORT"	"Support"	
"ENABLE"	"Enable"	
"DISABLE"	"Disable"	
"VANILLA"	"Vanilla"	
"CUSTOM"	"Custom"	
"STEAM_WORKSHOP_PAGE"	"Steam Workshop Page"	
"GITHUB_REPOSITORY"	"Github Repository"	
"DISCORD_SERVER"	"Discord Server"	
"CLOSE_BTN"	"Close"	
"MINIMIZE_BTN"	"Minimize"	
"GROUP_LOCALIZATION"	"Localization"	
"SELECT_LANGUAGE"	"Select Language"	
"USE_GAME_LANGUAGE"	"Use game language"	
