"Key"	"String"	"Context"
"LANGUAGE_NAME:self"	"正體中文"	"LANGUAGE_NAME:self
readable native name 
***** this is the name of its own language *****"
"LANGUAGE_NAME:de-DE"	"德文"	""
"LANGUAGE_NAME:en-EN"	"英文"	"***literally English***"
"LANGUAGE_NAME:es-ES"	"西班牙文"	""
"LANGUAGE_NAME:fr-FR"	"法文"	""
"LANGUAGE_NAME:it-IT"	"義大利文"	""
"LANGUAGE_NAME:ja-JP"	"日文"	""
"LANGUAGE_NAME:ko-KR"	"韓文"	""
"LANGUAGE_NAME:nl-NL"	"荷蘭文"	""
"LANGUAGE_NAME:pl-PL"	"波籣文"	""
"LANGUAGE_NAME:pt-PT"	"葡萄牙文"	""
"LANGUAGE_NAME:ru-RU"	"俄文"	""
"LANGUAGE_NAME:th-TH"	"泰文"	""
"LANGUAGE_NAME:vi-VN"	"越南文"	""
"LANGUAGE_NAME:zh-CN"	"簡體中文"	""
"LANGUAGE_NAME:zh-TW"	"正體中文"	""
