"Key"	"String"	"Context"
"LANGUAGE_NAME:self"	"日本語"	"LANGUAGE_NAME:self
readable native name 
***** this is the name of its own language *****"
"LANGUAGE_NAME:de-DE"	"ドイツ語"	""
"LANGUAGE_NAME:en-EN"	"英語"	"***literally English***"
"LANGUAGE_NAME:es-ES"	"スペイン語"	""
"LANGUAGE_NAME:fr-FR"	"フランス語"	""
"LANGUAGE_NAME:it-IT"	"イタリア語"	""
"LANGUAGE_NAME:ja-JP"	"日本語"	""
"LANGUAGE_NAME:ko-KR"	"韓国語"	""
"LANGUAGE_NAME:nl-NL"	"オランダ語"	""
"LANGUAGE_NAME:pl-PL"	"ポーランド語"	""
"LANGUAGE_NAME:pt-PT"	"ポルトガル語"	""
"LANGUAGE_NAME:ru-RU"	"ロシア語"	""
"LANGUAGE_NAME:th-TH"	"タイ語"	""
"LANGUAGE_NAME:vi-VN"	"ベトナム語"	""
"LANGUAGE_NAME:zh-CN"	"簡体中国語"	""
"LANGUAGE_NAME:zh-TW"	"繁体中国語"	""
