"Key"	"String"	"Context"
"LANGUAGE_NAME:self"	"Русский"	"LANGUAGE_NAME:self
readable native name 
***** this is the name of its own language *****"
"LANGUAGE_NAME:de-DE"	"Немецкий"	""
"LANGUAGE_NAME:es-ES"	"Испанский"	""
"LANGUAGE_NAME:fr-FR"	"Французский"	""
"LANGUAGE_NAME:it-IT"	"Итальянский"	""
"LANGUAGE_NAME:ja-JP"	"Японский"	""
"LANGUAGE_NAME:ko-KR"	"Корейский"	""
"LANGUAGE_NAME:nl-NL"	"Нидерланский"	""
"LANGUAGE_NAME:pl-PL"	"Польский"	""
"LANGUAGE_NAME:pt-PT"	"Португальский"	""
"LANGUAGE_NAME:ru-RU"	"Русский"	""
"LANGUAGE_NAME:th-TH"	"Тайский"	""
"LANGUAGE_NAME:vi-VN"	"Вьетнамский"	""
"LANGUAGE_NAME:zh-CN"	"Китайский (упрощенный)"	""
"LANGUAGE_NAME:zh-TW"	"Китайский (традиционный)"	""
