"Key"	"String"	"Context"
"LANGUAGE_NAME:self"	"简体中文"	"LANGUAGE_NAME:self
readable native name 
***** this is the name of its own language *****"
"LANGUAGE_NAME:de-DE"	"德语"	""
"LANGUAGE_NAME:es-ES"	"西班牙语"	""
"LANGUAGE_NAME:fr-FR"	"法语"	""
"LANGUAGE_NAME:it-IT"	"意大利语"	""
"LANGUAGE_NAME:ja-JP"	"日语"	""
"LANGUAGE_NAME:ko-KR"	"韩语"	""
"LANGUAGE_NAME:nl-NL"	"荷兰语"	""
"LANGUAGE_NAME:pl-PL"	"波兰语"	""
"LANGUAGE_NAME:pt-PT"	"葡萄牙语"	""
"LANGUAGE_NAME:ru-RU"	"俄语"	""
"LANGUAGE_NAME:th-TH"	"泰语"	""
"LANGUAGE_NAME:vi-VN"	"越南语"	""
"LANGUAGE_NAME:zh-CN"	"简体中文"	""
"LANGUAGE_NAME:zh-TW"	"繁体中文"	""
