"Key"	"String"	"Context"
"RESET"	"초기화"	""
"DEFAULT"	"기본값"	""
"NOT_SET"	"미설정"	""
"RESET_TO_DEFAULT"	"기본값으로 초기화"	""
"RESET_TO_VANILLA"	"바닐라로 초기화"	""
"APPLY"	"적용"	""
"SUPPORT"	"지원"	""
"ENABLE"	"활성화"	""
"DISABLE"	"비활성화"	""
"VANILLA"	"바닐라"	""
"CUSTOM"	"커스텀"	""
"STEAM_WORKSHOP_PAGE"	"Steam 창작마당 페이지"	""
"GITHUB_REPOSITORY"	"Github 저장소"	""
"DISCORD_SERVER"	"Discord 서버"	""
"CLOSE_BTN"	"닫기"	""
"MINIMIZE_BTN"	"최소화"	""
"GROUP_LOCALIZATION"	"현지화"	""
"SELECT_LANGUAGE"	"언어 선택"	""
"USE_GAME_LANGUAGE"	"게임 언어 사용"	""
